epoch,accuracy,loss,val_accuracy,val_loss
0,0.22836539149284363,2.169099807739258,0.359375,2.0181610584259033
1,0.39182692766189575,1.9135010242462158,0.4296875,1.8387374877929688
2,0.5120192170143127,1.7296427488327026,0.5078125,1.7063204050064087
3,0.59375,1.5765209197998047,0.484375,1.6219758987426758
4,0.661057710647583,1.4335523843765259,0.65625,1.4985579252243042
5,0.7884615659713745,1.2598011493682861,0.75,1.3727948665618896
6,0.8725961446762085,1.1362541913986206,0.8046875,1.3092201948165894
7,0.9399038553237915,1.0134776830673218,0.859375,1.19882071018219
8,0.96875,0.8853390216827393,0.90625,1.0435255765914917
9,0.9927884340286255,0.7905480265617371,0.9140625,0.9796264171600342
10,0.995192289352417,0.7189218997955322,0.921875,0.9142546057701111
11,0.9975961446762085,0.6737976670265198,0.9296875,0.8562800288200378
12,0.9975961446762085,0.631449282169342,0.8984375,0.8434689044952393
13,1.0,0.5962087512016296,0.9375,0.8181986212730408
14,1.0,0.5666090250015259,0.921875,0.774738609790802
15,1.0,0.5381762385368347,0.8984375,0.7908729314804077
16,1.0,0.5151641368865967,0.9453125,0.7163546085357666
17,1.0,0.48808062076568604,0.9296875,0.7011699676513672
18,1.0,0.4738709628582001,0.9296875,0.6988325715065002
19,1.0,0.45614883303642273,0.9296875,0.6997313499450684
20,1.0,0.44186413288116455,0.9296875,0.6784727573394775
21,1.0,0.42750975489616394,0.9296875,0.6639283299446106
22,1.0,0.41479170322418213,0.9453125,0.6110074520111084
23,1.0,0.40182211995124817,0.921875,0.6516906023025513
24,1.0,0.39203840494155884,0.9140625,0.6215419769287109
25,1.0,0.38111811876296997,0.921875,0.6064802408218384
26,1.0,0.3713768720626831,0.9375,0.5940165519714355
27,1.0,0.36269381642341614,0.9453125,0.5807527899742126
28,1.0,0.3547057807445526,0.9140625,0.592802107334137
29,1.0,0.3473302721977234,0.921875,0.5699175000190735
30,1.0,0.3405347168445587,0.921875,0.5554157495498657
31,1.0,0.3333519399166107,0.9375,0.5407229661941528
32,1.0,0.3249538838863373,0.921875,0.5513448715209961
33,1.0,0.31766974925994873,0.921875,0.5567715167999268
34,1.0,0.30984991788864136,0.9453125,0.5417711734771729
35,1.0,0.30393633246421814,0.9375,0.5468026399612427
36,1.0,0.2994079291820526,0.921875,0.5486975908279419
37,1.0,0.2923743426799774,0.9375,0.5109879970550537
38,1.0,0.28929200768470764,0.8984375,0.5667701959609985
39,1.0,0.2876652479171753,0.953125,0.4494841396808624
40,1.0,0.2830648422241211,0.9296875,0.5258809328079224
41,1.0,0.2764873206615448,0.9375,0.47191232442855835
42,1.0,0.26925456523895264,0.921875,0.50795578956604
43,1.0,0.265322208404541,0.9296875,0.47339242696762085
44,1.0,0.25977638363838196,0.9375,0.4722304344177246
45,1.0,0.2572987973690033,0.9375,0.5148950815200806
46,1.0,0.2549843490123749,0.9375,0.48789894580841064
47,1.0,0.25114914774894714,0.921875,0.5008131265640259
48,1.0,0.24657313525676727,0.9453125,0.460472047328949
49,1.0,0.24558685719966888,0.9140625,0.5190924406051636
50,1.0,0.2402634471654892,0.9140625,0.46837741136550903
51,1.0,0.23722296953201294,0.9453125,0.46218425035476685
52,1.0,0.23311704397201538,0.9375,0.4577980637550354
53,1.0,0.23113226890563965,0.9375,0.4901171326637268
54,1.0,0.2277565598487854,0.9296875,0.45712459087371826
55,1.0,0.2249232828617096,0.9296875,0.4383115768432617
56,1.0,0.22199755907058716,0.9453125,0.4386972486972809
57,1.0,0.21989215910434723,0.9375,0.4290074110031128
58,1.0,0.21860843896865845,0.9453125,0.3993874788284302
59,1.0,0.2159442901611328,0.9453125,0.4599347412586212
60,1.0,0.21461793780326843,0.9375,0.4102970361709595
61,1.0,0.21262702345848083,0.921875,0.4565560519695282
62,1.0,0.21108199656009674,0.9296875,0.42395922541618347
63,1.0,0.21908177435398102,0.921875,0.4254990220069885
64,1.0,0.22018668055534363,0.9453125,0.4554647207260132
65,1.0,0.2146022617816925,0.9375,0.46936243772506714
66,1.0,0.2060985565185547,0.953125,0.4544089436531067
67,1.0,0.20039254426956177,0.9375,0.42920956015586853
68,1.0,0.1966337114572525,0.9453125,0.4184141159057617
69,1.0,0.194264754652977,0.9453125,0.4063359498977661
70,1.0,0.1932685524225235,0.9375,0.4274219870567322
71,1.0,0.19007904827594757,0.9375,0.42944952845573425
72,1.0,0.1876286417245865,0.921875,0.40293189883232117
73,1.0,0.1854214370250702,0.9296875,0.38873568177223206
74,1.0,0.18348020315170288,0.9609375,0.3823474049568176
75,1.0,0.18171750009059906,0.9375,0.4173685312271118
76,1.0,0.17998407781124115,0.953125,0.3765581548213959
77,1.0,0.17880815267562866,0.9765625,0.34247463941574097
78,1.0,0.17771194875240326,0.9296875,0.3973098397254944
79,1.0,0.1754879653453827,0.9453125,0.3879033923149109
80,1.0,0.17356489598751068,0.9375,0.39694109559059143
81,1.0,0.1724727302789688,0.9375,0.39722922444343567
82,1.0,0.17064762115478516,0.9453125,0.3763720393180847
83,1.0,0.1688198298215866,0.9375,0.3551655113697052
84,1.0,0.1678818315267563,0.9375,0.3885805606842041
85,1.0,0.16635479032993317,0.9453125,0.3621974587440491
86,1.0,0.16691932082176208,0.9453125,0.37872228026390076
87,1.0,0.16377510130405426,0.9296875,0.3781077563762665
88,1.0,0.16253063082695007,0.9375,0.372693806886673
89,1.0,0.16056658327579498,0.9375,0.3662916123867035
90,1.0,0.1594875007867813,0.9296875,0.369973361492157
91,1.0,0.15731634199619293,0.921875,0.37514108419418335
92,1.0,0.15558406710624695,0.9375,0.37223559617996216
93,1.0,0.15415892004966736,0.953125,0.33844295144081116
94,1.0,0.15217052400112152,0.9375,0.3334497809410095
95,1.0,0.15176844596862793,0.9296875,0.35527026653289795
96,1.0,0.15021869540214539,0.9375,0.3720161020755768
97,1.0,0.15000924468040466,0.9140625,0.363533079624176
98,1.0,0.14845074713230133,0.9375,0.33126017451286316
99,1.0,0.1481497436761856,0.9453125,0.38907569646835327
